employee_Fullname,job_title,company_name,linkedin_urls,count_employee
Keith Rosser,Director of Group Risk,Reed,https://www.linkedin.com/in/keithrosser1/,5770
Elinor Hull,Identity Services Director,Post Office,https://www.linkedin.com/in/elinorhull/,12292
Emma Lindley,Co-Founder & Board Chair,Woman in Identity,https://www.linkedin.com/in/emmalindley/,308
Adam Cooper,Director ,ID Crowd,https://www.linkedin.com/in/adamkcooper/,2
DanielJonas,Head of Research & Innovation,Pay.UK,https://www.linkedin.com/in/danieljonas/,333
Miklos Sagi,Lead Principal Engineer for Identity Services,NatWest Group,https://www.linkedin.com/in/miklossagi/,33399
Richard Felton,"Head of Sales, Europe",Marqeta,https://www.linkedin.com/in/rifelton/?originalSubdomain=uk,898
Dastan Shukanayev,Product Manager - Payments Technology,Marks and Spencer,https://www.linkedin.com/in/dastan-sh/,29732
Elliot Hentov ,Head of Macro Policy Research,State Street Global Advisors,https://www.linkedin.com/in/elliot-hentov-2163a563/,39694
Mike Fisher,Chief Product Officer,Mutual Vision,https://www.linkedin.com/in/michael-fisher-w3mjf/,64
Aleksandra Shelepova,Chief Legal Officer,CoinLoan,https://www.linkedin.com/in/aleksandra-shelepova/,25
Gerald Gruber,Chief Commercial Officer,Bunq,https://www.linkedin.com/in/geraldgruber/?originalSubdomain=at,361
Ken Johnstone,Chief Product Officer,Mettle,https://www.linkedin.com/in/kenjohnstone/?originalSubdomain=uk,276
Celeste Leverton,"Associate Director, Sustainability Manager, Strategy, Sustainability and Innovation for Wealth Businesses",Coutts,https://www.linkedin.com/in/celeste-l-3a043495/?originalSubdomain=uk,2481
Daphne Biliouri-Grant,ESG Manager,Suffolk Building Society,https://www.linkedin.com/in/daphne-biliouri-grant-b028a810/,8
Cameron Orcutt,Co-Founder and Chief Executive Officer,Onladder,https://www.linkedin.com/in/cameronorcutt/?originalSubdomain=uk,6
Claire Askham,Head of Mortgage Sales,Buckinghamshire Building Society,https://www.linkedin.com/in/claireaskham1977/,51
Sohail Raja ,UK Chief Digital Officer,Société Générale,https://www.linkedin.com/in/sohailraja/?originalSubdomain=uk,10117
Humayon Dar,Director General,Cambridge Institute of Islamic Finance,https://www.linkedin.com/in/humayon-dar-b52a323/?originalSubdomain=uk,
Stephen Geran,Head of Digital Product Innovation,Nationwide Building Society,https://www.linkedin.com/in/stephen-geran-00844377/,11231
Phil Gosset,Head of Innovation,Nationwide Building Society,https://www.linkedin.com/in/phil-gosset-b7a164/,11231
Jehangir Byramji,"Emerging Technology & Innovation, Chief Technology Officex","Emerging Technology & Innovation, Chief Technology Office, Lloyds Banking Group",https://www.linkedin.com/in/byramji/,55335
Nick Fleetwood,Head of Data Services,Form3,https://www.linkedin.com/in/nickfleetwood/?originalSubdomain=uk,432
Kirsteen Harrison,Environmental Advisor,Zumo Enterprise,https://www.linkedin.com/in/kirsteenharrison/,48
Maxson J.Y. Tee,"VP Group Strategy & Corporate Development, Digital Strategy",Barclays,https://www.linkedin.com/in/maxsontjy/,72656
Dawn Bailey,Head of Financial Wellbeing,Bank of Ireland,https://www.linkedin.com/in/dawn-bailey-180a8721/,9917
Sergiu Negut,Co-Founder and CSO,FintechOS,https://www.linkedin.com/in/sergiu/?originalSubdomain=ro,353
Joy Abisaab,CEO,Mast,https://www.linkedin.com/in/joyabisaab/,4
Martin Sladecek,Director of Digital Strategic Studies,Société Générale,https://www.linkedin.com/in/sladecek/,52150
Philip Bonhard,"Head of Design - Payments, Fraud & Financial Crime",Lloyds Banking Group,https://www.linkedin.com/in/philipbonhard/,55335
Simon Crown,Partner,Clifford Chance,https://www.linkedin.com/in/simon-crown-b27bb317/?originalSubdomain=uk,7571
Benjamin Dellal,Director of SME Lending,Metro Bank (UK),https://www.linkedin.com/in/benjamindellal/?originalSubdomain=uk,3192
Michael Conville,Head of Mortgage Operations,Newcastle Building Society,https://www.linkedin.com/in/michael-conville-b395505b/,649
Tori Strong,Head of Digital Products,Newcastle Building Society,https://www.linkedin.com/in/victorianewcombe/,649
Rachael Hunnisett,National Accounts & New Build Lead,Skipton Building Society,https://www.linkedin.com/in/rachaelhunnisett/,1549
Garrett Cassidy,Fintech Founder and Former Vice President,Monese,https://www.linkedin.com/in/garrettcassidy/?originalSubdomain=ie,
James Pursaill,Chief Technology Officer,Plend,https://www.linkedin.com/in/james-pursaill-83b1831ba/?originalSubdomain=uk,18
Eliot Darcy,CEO,Market Mortgage,https://www.linkedin.com/in/eliot-darcy-96a3017/,5
Pavir Patel,Chief of Staff,Bitpanda Pro,https://www.linkedin.com/in/pavir/,37
Nicolas Decouttere,Member,EU Blockchain Observatory and Forum,https://www.linkedin.com/in/nicolas-decouttere-520aa2a/,10
Shelley Schachter-Cahm,Chief Compliance Officer,CEX.IO,https://www.linkedin.com/in/shelley-schachter-cahm-967434/,212
Eleftherios Jerry Floros,CEO & Founder / Fintech Expert & Author,Elysian Impact Investing / Rethink Your Digital Future,https://www.linkedin.com/in/jerryfloros/,2
Anastasia Kinsky,Head of Programmes & Content,GBBC Digital Finance,https://www.linkedin.com/in/anastasia-kinsky-879aaa98/,37
Michael Royce,Senior Policy & Propositions Manager (Savings & Workplace),Money and Pensions Service,https://www.linkedin.com/in/michael-royce-144819a/,391
Akash Bhalla,Product Manager,Oval Money,https://www.linkedin.com/in/akash-bhalla-81150385/,159
Laura Douglas,Senior Associate,Clifford Chance,https://www.linkedin.com/in/laura-douglas-82655233/,7571
David Pollington,Head of Research,Bloc Ventures,https://www.linkedin.com/in/pollington/,10
Colin Field,CEO,Saffron Building Society,https://www.linkedin.com/in/colin-field-045ab25/,151
Ronan O'Dea,Head of Product,Validis,https://www.linkedin.com/in/ronan-o-dea-77715256/?originalSubdomain=uk,59
Claire Tracey,Chief Strategy and Sustainability Officer,Nationwide Building Society,https://www.linkedin.com/in/claire-tracey-55b1aa3/,11231
ChrisKronow Rasmussen,Senior Manager,FCG,https://www.linkedin.com/in/kronow/,273
Helene Vigue,Identity and Data Director,GSMA,https://www.linkedin.com/in/helenevigue/,925
Tom Banks,Head of Corporate Affairs UK/Global,Kindred Group,https://www.linkedin.com/in/tom-banks-41596637/,1870
Rajeeb Gurung,Fintech Reporter,Bobsguide,https://www.linkedin.com/in/rajeeb-gurung-541796153/,82
Denis Seleznev,Founder,Deedy Digital,https://www.linkedin.com/in/denis2005/,2
Lena Rantsevich,Co-Founder,YourJustice,https://www.linkedin.com/in/web3-head-of-marketing-partnerships-strategy-startups-founder/,11
Jaimin Patel,Founder ,Lazy Trade,https://www.linkedin.com/in/jaimindpatel/,
Jay Wilson,Investment Director,AlbionVC,https://www.linkedin.com/in/jaywilsonmba2016/,22
Matt Lowndes,Innovation Director,Mortgage Advice Bureau,https://www.linkedin.com/in/mattlowndes/,954
Wayne Morris,Head of Transformation,Nationwide Building Society,https://www.linkedin.com/in/waynem1/,11231
Diego Ballon Ossio,Senior Associate ,Clifford Chance,https://www.linkedin.com/in/diego-ballon-ossio-07952418/?originalSubdomain=uk,7571
Mariya Brown,Head of EMEA Innovation,The Bank of New York Mellon Corporation,https://www.linkedin.com/in/mariyabrown/,48766
Michael Messele,CEO,The Pillar Project,https://www.linkedin.com/in/michaelmessele/,27
Jane Benjamin,"Director, Mortgages",Connect for Intermediaries,https://www.linkedin.com/in/jane-benjamin-19b9568b/,14
Prabhakar Samy,Payments Practice Manager,Aspire,https://www.linkedin.com/in/prabhakarvellaisamy/,4505
Tynah Matembe,Founder & CEO,MoneyMatiX,https://www.linkedin.com/in/tynah-matembe-9898b95b/,2
Kam Dylan,Lawyer & Consultant ,K Dylan & Company,https://www.linkedin.com/in/kamdylan/,
Philippe Ho ,Head of Business Development & Partnerships,Catheon Gaming,https://www.linkedin.com/in/philippe-ho-0300b5a0/,147
